半導體設備工程師,製造工程
LCD設備工程師,製造工程
品管／品保主管,製造工程
品管／品保工程師,製造工程
可靠度工程師,製造工程
硬體測試工程師,製造工程
測試人員,製造工程
IC封裝／測試工程師,製造工程
軟韌體測試工程師,製造工程
EMC／電子安規工程師,製造工程
ISO／品保人員,製造工程
品管／檢驗人員,製造工程
職業安全衛生管理師,製造工程
安全／衛生相關檢驗人員,製造工程
環境工程人員 / 工程師,製造工程
防火及建築檢驗人員,製造工程
公共衛生人員,製造工程
廠務,製造工程
廠務助理,製造工程
職業安全衛生管理員,製造工程
營建主管,製造工程
建築師,製造工程
都市／交通規劃人員,製造工程
土木技師／土木工程師,製造工程
結構技師／結構工程師,製造工程
水利工程師,製造工程
工程配管繪圖,製造工程
水保技師／水保工程師,製造工程
內業工程師,製造工程
工務人員／助理,製造工程
水電工程師,製造工程
估算人員,製造工程
發包人員,製造工程
土地開發人員,製造工程
營造工程師,製造工程
工地監工／主任,製造工程
建築物電力系統維修工,製造工程
砌磚工及砌石工,製造工程
混凝土工,製造工程
木工,製造工程
泥水工,製造工程
油漆工,製造工程
建築物清潔工,製造工程
金屬建材架構人員,製造工程
泥水小工及有關工作者,製造工程
其他營建構造工及有關工作者,製造工程
水電工,製造工程
防水施工人員,製造工程
CAD／CAM工程師,製造工程
建築設計／繪圖人員,製造工程
水電及其他工程繪圖人員,製造工程
機械設計／繪圖人員,製造工程
量測／儀校人員,製造工程
室內設計／裝潢人員,製造工程
景觀設計師,製造工程
多媒體開發主管,教育傳播
廣告設計,教育傳播
展場／櫥窗佈置人員,教育傳播
多媒體動畫設計師,教育傳播
平面設計／美編人員,教育傳播
網頁設計師,教育傳播
美術設計,教育傳播
商業設計,教育傳播
服裝／皮包／鞋類設計,教育傳播
工業設計,教育傳播
包裝設計,教育傳播
電腦繪圖人員,教育傳播
設計助理,教育傳播
織品設計,教育傳播
節目製作人員,教育傳播
演員,教育傳播
導演／導播,教育傳播
模特兒,教育傳播
音樂家／作曲／歌唱及演奏家,教育傳播
舞蹈指導與舞蹈家,教育傳播
藝術指導 ／藝術總監,教育傳播
電台工作人員,教育傳播
播音／配音人員,教育傳播
影片製作技術人員,教育傳播
燈光／音響師,教育傳播
攝影師,教育傳播
其他娛樂事業人員,教育傳播
節目助理,教育傳播
攝影助理,教育傳播
視聽工程類人員,教育傳播
主持人,教育傳播
技術文件／說明書編譯,教育傳播
英文翻譯／口譯人員,教育傳播
日文翻譯／口譯人員,教育傳播
其他翻譯／口譯人員,教育傳播
文編／校對／文字工作者,教育傳播
排版人員,教育傳播
記者／採編,教育傳播
其他傳媒相關工作,教育傳播
物理相關研究員,教育傳播
天文相關研究員,教育傳播
氣象相關研究員,教育傳播
化學相關研究員,教育傳播
地質與地球科學研究員,教育傳播
數學研究員,教育傳播
統計學研究員,教育傳播
社會／人類學研究人員,教育傳播
哲學／歷史／政治相關研究人員,教育傳播
心理學研究人員,教育傳播
生物學專業與研究,教育傳播
應用科學研究員,教育傳播
研究助理,教育傳播
其他研究人員,教育傳播
補習班導師／管理人員,教育傳播
教授／副教授／助理教授,教育傳播
助教,教育傳播
中等學校教師,教育傳播
國小學校教師,教育傳播
特殊教育教師,教育傳播
幼教班老師,教育傳播
安親班老師,教育傳播
升學補習班老師,教育傳播
電腦補習班老師,教育傳播
語文補習班老師,教育傳播
珠心算老師,教育傳播
美術老師,教育傳播
音樂老師,教育傳播
其他補習班老師,教育傳播
其他才藝類老師,教育傳播
其他類講師,教育傳播
社工人員,教育傳播
運動教練,教育傳播
教保員,教育傳播
講師,教育傳播
數理補習班老師,教育傳播
托育人員,教育傳播
餐飲服務生,其他專業
中餐廚師,其他專業
西餐廚師,其他專業
其他類廚師,其他專業
麵包師,其他專業
西點／蛋糕師,其他專業
調酒師／吧台人員,其他專業
餐廚助手,其他專業
食品衛生管理師,其他專業
洗碗人員,其他專業
日式廚師,其他專業
領班,其他專業
作業員／包裝員,其他專業
電機工程技術員,其他專業
CNC機台操作人員,其他專業
CNC電腦程式編排人員,其他專業
車床人員,其他專業
銑床人員,其他專業
沖壓模具技術人員,其他專業
塑膠模具技術人員,其他專業
機械加工技術人員,其他專業
塑膠射出技術人員,其他專業
印前製作／印刷技術人員,其他專業
噴漆人員,其他專業
板金技術員,其他專業
PCB技術人員,其他專業
焊接及切割技術員,其他專業
紡織工務,其他專業
打版人員,其他專業
製鞋類人員,其他專業
車縫／裁縫類人員,其他專業
樂器製造及調音技術員,其他專業
珠寶及貴金屬技術員,其他專業
機械裝配員,其他專業
電機設備裝配員,其他專業
農業及林業設備操作員,其他專業
推土機及有關設備操作員,其他專業
吊車／起重機及有關設備操作員,其他專業
手工包裝工及有關工作者,其他專業
其他機械操作員,其他專業
鑄造／鍛造模具技術人員,其他專業
粉末冶金模具技術人員,其他專業
壓鑄模具技術人員,其他專業
電鍍／表面處理技術人員,其他專業
精密拋光技術人員,其他專業
線切割技術員,其他專業
雷射操作技術員,其他專業
染整技術人員,其他專業
鍋爐操作技術人員,其他專業
塗裝技術人員,其他專業
採購主管,其他專業
資材主管,其他專業
採購人員,其他專業
倉管,其他專業
物管／資材,其他專業
採購助理,其他專業
運輸物流類主管,其他專業
運輸交通專業人員,其他專業
外務／快遞／送貨,其他專業
鐵路車輛駕駛員,其他專業
小客車／計程車及小貨車司機,其他專業
大貨車及其他類司機,其他專業
飛行機師,其他專業
飛安人員,其他專業
倉儲物流人員,其他專業
船長／大副／船員,其他專業
醫師,其他專業
牙醫師,其他專業
醫事檢驗師,其他專業
護理師及護士,其他專業
藥師,其他專業
營養師,其他專業
獸醫師,其他專業
公共衛生醫師,其他專業
中醫師,其他專業
麻醉醫師,其他專業
驗光師,其他專業
復建技術師,其他專業
治療師,其他專業
其他醫療人員,其他專業
藥學助理,其他專業
醫事放射師,其他專業
呼吸治療師,其他專業
職能治療師,其他專業
物理治療師,其他專業
語言治療師,其他專業
專科護理師,其他專業
牙體技術師,其他專業
心理師,其他專業
