建築／土木工程,傳產製造,營建土木
機械設備製造修配,傳產製造,機械設備
建物裝修／空調／水電,傳產製造,營建土木
非金屬礦物製品製造,傳產製造,非金屬製造
電信／通訊,資訊科技,電信通訊
餐飲服務,民生服務,餐飲服務
不動產,傳產製造,營建土木
電力機械設備製造,傳產製造,電力機械
農產／畜牧,傳產製造,農林漁牧
半導體業,資訊科技,半導體業
軟體／網路,資訊科技,軟體網路
運輸工具製造,傳產製造,運輸工具
環境／衛生／污染相關,民生服務,環境衛生
金屬相關製造,傳產製造,金屬製造
出版,文教傳播,印刷出版
家具／辦公設備／裝設／製造加工,傳產製造,家具家飾
